LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-KNUC-276,PS004754,9,2,2,5,7,2,100.0,100.0,1.0,
DSR-KER-459,PS018621,15,2,0,5,21,0,0.0,0.0,0.0,
DSR-KER-293,MGS00685,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-ROM-704,TG015435,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-MUM-124,PH001868,12,7,1,4,14,1,100.0,14.285714285714285,0.0,
DSR-CMN-KER-563,PH119795,2,2,1,2,5,0,0.0,50.0,0.0,
FSA-GT-HYD-009,PH000236,4,4,4,4,5,3,75.0,100.0,1.0,
DSR-KNUC-179,PS004642,1,1,1,5,9,1,100.0,100.0,1.0,
DSR-GUJ-388,CL001989,11,4,2,4,7,2,100.0,50.0,0.0,
DSR-GT-MUM-702,PH061008,6,5,2,5,5,2,100.0,40.0,1.0,
DSR-KER-071,PS022293,15,5,1,5,6,1,100.0,20.0,1.0,
DSR-MUM-291,SM001682,14,7,1,4,13,1,100.0,14.285714285714285,0.0,
DSR-E/UP-173,PS008560,1,1,1,4,6,1,100.0,100.0,1.0,
DSR-GT-NCR-652,PH090125,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-ROM-350,PS012479,5,5,0,2,9,0,0.0,0.0,0.0,
DSR-CMN-KER-843,PH079264,12,8,4,5,8,4,100.0,50.0,0.0,
FSA-SPT-NCR-104,PS001782,7,1,0,4,5,0,0.0,0.0,1.0,
FSA-CMN-ROE-098,PH119075,1,1,0,0,1,0,0.0,0.0,1.0,
DSR-CMN-ROM-799,PH086870,8,4,1,3,5,1,100.0,25.0,0.0,
DSR-ROM-350,PH094732,3,3,1,1,5,0,0.0,33.33333333333333,0.0,
DSR-SPT-E/UP-613,PS020915,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-UK-228,DS021099,3,2,1,5,5,1,100.0,50.0,1.0,
DSR-MP-145,PH025275,2,2,0,4,10,0,0.0,0.0,0.0,
DSR-ROE-298,PS013140,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-APUC-353,TG022513,2,2,2,1,3,1,50.0,100.0,1.0,
DSR-ROM-348,MGS08069,1,1,1,2,2,1,100.0,100.0,1.0,
DSR-SPT-KER-072,PH093144,6,6,2,4,12,2,100.0,33.33333333333333,1.0,
DSR-CMN-ROM-591,PH087057,4,4,3,4,5,3,100.0,75.0,0.0,
FSA-SPT-HYD-003,PS022618,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-PUNJ-190,PH083730,3,2,2,2,5,2,100.0,100.0,1.0,
DSR-UK-228,DS021769,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-MUM-132,PH062293,4,1,1,4,5,1,100.0,100.0,1.0,
FSA-SPT-GUJ-071,PS005301,27,7,2,5,5,2,100.0,28.57142857142857,1.0,
DSR-SPT-TN-510,PS020782,30,17,1,4,20,1,100.0,5.88235294117647,0.0,
DSR-KER-352,DS021126,2,1,0,3,5,0,0.0,0.0,1.0,
DSR-TNUC-312,PH026939,3,3,1,4,5,1,100.0,33.33333333333333,0.0,
DSR-KER-391,DS012016,5,4,0,4,9,0,0.0,0.0,0.0,
DSR-UK-228,DS020896,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-PUNE-141,PH041390,13,5,2,4,9,2,100.0,40.0,1.0,
DSR-GT-MUM-602,TG019942,26,14,1,4,24,1,100.0,7.142857142857142,0.0,
DSR-PUNJ-389,PH039590,1,1,1,1,10,0,0.0,100.0,1.0,
DSR-CMN-ROE-693,PH104298,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-CMN-ROE-693,PH116855,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-BGLR-087,DS000188,7,5,2,5,17,2,100.0,40.0,1.0,
DSR-CMN-KNUC-644,TG022706,2,1,0,3,5,0,0.0,0.0,1.0,
DSR-PUNE-141,PH123107,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-KOL-434,DS023058,6,5,2,4,9,2,100.0,40.0,0.0,
DSR-CMN-AP-472,PH107550,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-APUC-009,PH045766,4,1,1,3,5,1,100.0,100.0,1.0,
DSR-CHN-105,TG002460,6,6,2,5,12,2,100.0,33.33333333333333,0.0,
DSR-GT-BGLR-469,PH103909,6,1,0,5,17,0,0.0,0.0,0.0,
FSA-GT-HYD-010,PH000331,13,3,1,4,12,1,100.0,33.33333333333333,1.0,
DSR-GOA-153,TG023587,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-KNUC-088,PH087633,4,4,3,5,5,3,100.0,75.0,1.0,
DSR-CMN-KER-637,MGS08038,6,6,2,4,9,2,100.0,33.33333333333333,0.0,
FSA-SPT-NCR-082,PS010552,16,10,2,5,12,2,100.0,20.0,0.0,
DSR-TN-345,PS013161,1,1,0,3,5,0,0.0,0.0,1.0,
DSR-MUM-255,PH083567,11,4,2,4,5,1,50.0,50.0,1.0,
DSR-GT-PUNJ-514,PH103388,7,5,1,5,5,1,100.0,20.0,1.0,
DSR-CMN-KER-863,PH108878,11,6,3,5,5,3,100.0,50.0,1.0,
DSR-KER-080,PH036853,1,1,1,3,5,0,0.0,100.0,1.0,
DSR-GT-KER-500,DS014851,4,3,1,5,5,1,100.0,33.33333333333333,1.0,
DSR-GT-MUM-656,DS010017,11,9,4,4,10,3,75.0,44.44444444444444,1.0,
DSR-KNUC-305,PH104729,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-NCR-039,TG007333,7,3,0,3,9,0,0.0,0.0,0.0,
DSR-WUP-393,PH088129,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-MP-230,PH112323,4,3,1,3,5,1,100.0,33.33333333333333,1.0,
DSR-W/UP-443,MGS02397,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-GT-NCR-857,PH108570,4,4,2,4,5,2,100.0,50.0,0.0,
DSR-UP-344,PS006959,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-NCR-036,PH107593,3,1,0,3,5,0,0.0,0.0,1.0,
DSR-NCR-160,DS013948,14,9,0,2,15,0,0.0,0.0,0.0,
DSR-MUM-127,PH002880,10,6,3,4,16,3,100.0,50.0,1.0,
DSR-GT-NCR-457,PH119654,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNE-141,PH056820,9,7,1,5,11,1,100.0,14.285714285714285,0.0,
DSR-PUNJ-161,PS000788,1,1,1,5,6,1,100.0,100.0,1.0,
DSR-NCR-160,MGH00136,13,9,1,2,15,1,100.0,11.11111111111111,1.0,
DSR-PUNE-148,PH048352,3,3,0,4,9,0,0.0,0.0,0.0,
DSR-GUJ-151,PH094314,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-MP-288,PH103551,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-PUNE-141,PH030619,10,7,1,1,7,1,100.0,14.285714285714285,1.0,
DSR-KNUC-430,PH103073,4,3,0,1,10,0,0.0,0.0,1.0,
DSR-MPC-371,PH099357,1,1,1,2,4,1,100.0,100.0,1.0,
FSA-SPT-CHN-047,PS017276,26,14,2,4,27,2,100.0,14.285714285714285,1.0,
DSR-PUNE-148,PH003851,13,10,4,5,11,4,100.0,40.0,1.0,
DSR-CMN-KNUC-473,DS022755,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-SPT-MUM-538,PS013000,8,4,0,0,9,0,0.0,0.0,1.0,
DSR-SPT-MUM-540,PS010405,10,8,0,0,15,0,0.0,0.0,1.0,
DSR-KER-352,IN000610,2,1,0,1,5,0,0.0,0.0,1.0,
DSR-RAJ-165,TG023452,2,2,1,1,4,1,100.0,50.0,1.0,
DSR-KER-391,PH080775,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-E/UP-173,PH114608,1,1,1,1,2,1,100.0,100.0,1.0,
DSR-GT-MUM-683,PH109893,4,3,0,0,5,0,0.0,0.0,1.0,
DSR-MUM-134,PH123028,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-KER-343,DS011519,3,3,0,3,6,0,0.0,0.0,0.0,
DSR-W/UP-443,MGS02398,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-CMN-ROM-773,PH052992,3,2,0,3,7,0,0.0,0.0,0.0,
DSR-KER-391,PH033003,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-APUC-353,PH083210,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-GT-AP-479,TG012325,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-GUJ-387,PH053081,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-KNUC-430,PH123540,3,1,0,0,4,0,0.0,0.0,1.0,
DSR-NCR-041,PH005160,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-PUNJ-156,PH005683,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-KNUC-430,PH103072,4,3,1,1,10,0,0.0,33.33333333333333,1.0,
DSR-GT-KER-820,PH015513,21,12,1,4,11,0,0.0,8.333333333333332,0.0,
DSR-CMN-EUP-665,PH121595,3,3,2,2,5,2,100.0,66.66666666666666,1.0,
ISR-CMN-TNUC-003,TG022585,8,8,4,4,13,4,100.0,50.0,1.0,
DSR-GT-PUNE-779,PH046730,10,9,4,4,9,3,75.0,44.44444444444444,1.0,
DSR-CMN-EUP-668,PH066684,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-MUM-129,PH101622,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CMN-MPC-784,PH108016,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-PUNE-137,WP002342,12,9,0,4,19,0,0.0,0.0,0.0,
DSR-CMN-UK-697,PH040334,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-MUM-132,PH011148,5,3,2,4,14,2,100.0,66.66666666666666,1.0,
DSR-CMN-CHN-567,PH023014,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-ROM-215,PH049759,10,7,3,5,11,3,100.0,42.857142857142854,1.0,
DSR-RAJ-043,PH014801,6,3,0,2,9,0,0.0,0.0,0.0,
DSR-MUM-132,PH001886,6,6,2,4,7,2,100.0,33.33333333333333,1.0,
DSR-KER-293,DS015520,4,4,2,5,18,2,100.0,50.0,1.0,
DSR-BGLR-085,PH094040,4,4,3,4,5,3,100.0,75.0,1.0,
DSR-HAR-220,MGS01153,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-PUNJ-389,PH039591,1,1,0,1,10,0,0.0,0.0,1.0,
DSR-NCR-160,DS006813,13,11,0,2,24,0,0.0,0.0,0.0,
DSR-NCR-039,PH121117,2,2,1,1,4,1,100.0,50.0,1.0,
DSR-KNUC-305,PH125421,5,4,0,0,4,0,0.0,0.0,1.0,
DSR-ROM-409,PH096323,2,2,2,3,5,1,50.0,100.0,1.0,
DSR-GT-MUM-765,PH002780,12,9,4,5,9,4,100.0,44.44444444444444,0.0,
DSR-NCR-039,PH126939,2,1,0,1,4,0,0.0,0.0,1.0,
DSR-ROM-412,TG011993,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-ROM-216,PH101570,7,5,2,2,3,2,100.0,40.0,1.0,
DSR-CMN-KER-741,PH028676,6,5,0,4,17,0,0.0,0.0,0.0,
DSR-CMN-ROE-558,BR001977,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-788,PH042692,1,1,1,0,10,0,0.0,100.0,1.0,
DSR-GT-TNUC-677,PH083516,6,3,2,4,10,2,100.0,66.66666666666666,1.0,
DSR-MPC-376,PH123378,2,2,2,2,2,2,100.0,100.0,1.0,
DSR-PUNE-140,TG003877,2,2,2,3,4,2,100.0,100.0,1.0,
DSR-SPT-MUM-659,PS003311,14,1,0,0,5,0,0.0,0.0,1.0,
DSR-ROM-143,PH087055,3,2,0,3,8,0,0.0,0.0,1.0,
DSR-ROM-215,PH027082,4,4,4,4,10,4,100.0,100.0,1.0,
DSR-KNUC-088,PH128720,1,1,1,2,2,1,100.0,100.0,1.0,
FSA-SPT-BGLR-043,CL000092,36,16,2,4,22,2,100.0,12.5,0.0,
DSR-CHN-105,DS022473,11,5,1,4,5,1,100.0,20.0,0.0,
DSR-MUM-255,TG000733,9,6,2,4,7,2,100.0,33.33333333333333,0.0,
DSR-GT-PUNJ-726,DS001411,2,1,0,3,6,0,0.0,0.0,0.0,
DSR-MUM-291,WG000002,8,7,1,4,18,1,100.0,14.285714285714285,0.0,
DSR-GT-MUM-702,PH002203,8,5,3,5,5,3,100.0,60.0,1.0,
DSR-CMN-KNUC-473,PH119766,5,4,1,1,5,1,100.0,25.0,1.0,
DSR-GT-MUM-683,PH128984,4,2,0,0,2,0,0.0,0.0,1.0,
DSR-CMN-ROE-676,PH127245,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-UP-379,PH046490,1,1,1,2,10,0,0.0,100.0,1.0,
DSR-BGLR-082,DS004458,21,13,5,5,18,5,100.0,38.46153846153847,1.0,
DSR-CMN-PUNJ-519,PH049130,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-CMN-KNUC-473,DS015586,2,2,1,5,7,1,100.0,50.0,0.0,
DSR-CMN-HAR-797,PS002759,26,6,1,1,8,1,100.0,16.666666666666664,1.0,
DSR-MUM-129,MGS02085,15,5,1,3,7,1,100.0,20.0,0.0,
DSR-GT-ROM-690,PH056094,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-HAR-166,DS002329,6,5,1,2,5,1,100.0,20.0,0.0,
DSR-KER-391,PH032989,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-HAR-185,PH088261,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-APUC-009,PH022858,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-APUC-353,MGS005742,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-PUNE-149,PH082858,6,4,0,5,15,0,0.0,0.0,0.0,
DSR-KER-352,DS021116,3,1,0,2,5,0,0.0,0.0,1.0,
DSR-BGLR-084,PH053935,5,5,1,5,5,1,100.0,20.0,1.0,
DSR-KER-352,TG019565,3,1,0,3,5,0,0.0,0.0,1.0,
FSA-SPT-BGLR-108,PS021559,8,3,0,3,13,0,0.0,0.0,0.0,
DSR-NCR-039,PH126940,2,1,1,1,2,1,100.0,100.0,1.0,
DSR-APUC-273,TG001957,3,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-CMN-HAR-829,PH101537,2,2,1,4,6,1,100.0,50.0,0.0,
DSR-PUNJ-191,DS010869,2,2,0,5,7,0,0.0,0.0,0.0,
DSR-KER-293,DS006105,5,5,3,3,6,2,66.66666666666666,60.0,1.0,
DSR-GT-DEL-783,PH116212,3,3,1,2,5,0,0.0,33.33333333333333,0.0,
DSR-GUJ-120,PH118083,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-GT-PUNE-778,MGS003870,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-KOL-356,WP002635,6,4,4,5,5,4,100.0,100.0,1.0,
DSR-CMN-EUP-668,PH092858,1,1,1,1,2,0,0.0,100.0,1.0,
DSR-KER-293,DS006096,5,3,0,5,9,0,0.0,0.0,1.0,
