LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-CMN-ROM-773,PH061073,3,2,1,3,5,1,100.0,50.0,0.0,
DSR-CMN-KER-637,PH015968,13,7,3,4,7,3,100.0,42.857142857142854,0.0,
DSR-NCR-160,TG005786,14,8,1,2,11,1,100.0,12.5,0.0,
DSR-KNUC-430,TG022135,5,3,1,1,10,0,0.0,33.33333333333333,1.0,
DSR-PUNE-139,PH064953,4,2,1,4,5,0,0.0,50.0,1.0,
DSR-PUNE-149,TG023908,3,1,1,2,2,1,100.0,100.0,1.0,
FSA-SPT-MUM-063,CL002675,5,3,1,4,10,1,100.0,33.33333333333333,1.0,
DSR-NCR-039,PH098665,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-CMN-KNUC-473,CL004608,6,5,2,3,7,2,100.0,40.0,0.0,
DSR-ROE-272,PS004727,2,1,1,5,5,1,100.0,100.0,1.0,
DSR-CMN-KER-741,SM002413,13,6,2,4,11,2,100.0,33.33333333333333,1.0,
DSR-CMN-EUP-668,PH066838,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-NE-275,PH095003,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-GT-ROE-528,PH053451,5,3,0,1,7,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-822,PH030751,11,8,3,4,5,3,100.0,37.5,0.0,
DSR-GUJ-120,PH113802,1,1,0,3,5,0,0.0,0.0,1.0,
DSR-KER-293,PH054879,2,2,1,5,5,1,100.0,50.0,1.0,
DSR-NCR-032,PH041851,2,2,1,4,5,0,0.0,50.0,1.0,
DSR-W/UP-176,PH119727,2,2,2,2,2,2,100.0,100.0,1.0,
FSA-CMN-BGLR-109,PS019841,5,4,2,5,5,2,100.0,50.0,1.0,
DSR-KOL-214,PS021869,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-GOA-144,DS012308,8,7,3,4,5,3,100.0,42.857142857142854,1.0,
DSR-KER-068,DS018350,19,8,3,4,5,3,100.0,37.5,1.0,
DSR-MUM-134,PH029380,4,3,0,3,5,0,0.0,0.0,0.0,
DSR-SPT-NCR-529,PS000678,5,1,0,0,5,0,0.0,0.0,1.0,
DSR-CMN-KNUC-642,PH088068,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-ROE-294,PH034766,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-ROM-704,PH112070,2,2,0,2,7,0,0.0,0.0,0.0,
FSA-SPT-BGLR-100,PS020929,10,7,1,3,19,1,100.0,14.285714285714285,1.0,
DSR-GT-MUM-656,PH059440,3,3,0,3,6,0,0.0,0.0,0.0,
DSR-APUC-353,MGS07845,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-MUM-315,PH014484,15,10,4,4,12,3,75.0,40.0,1.0,
DSR-ROE-380,TS001197,3,3,1,3,5,0,0.0,33.33333333333333,0.0,
DSR-MPC-407,TG014386,2,1,1,5,5,1,100.0,100.0,1.0,
DSR-SPT-KER-072,PH019977,7,5,1,3,5,1,100.0,20.0,0.0,
DSR-MUM-291,PH021877,1,1,1,4,6,1,100.0,100.0,1.0,
DSR-PUNJ-404,PH104327,3,3,2,3,5,2,100.0,66.66666666666666,1.0,
FSA-SPT-BGLR-042,CL000049,1,1,0,4,18,0,0.0,0.0,0.0,
DSR-CMN-KNUC-473,PH100772,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-GUJ-388,CL002950,5,4,3,5,8,3,100.0,75.0,1.0,
FSA-SPT-NCR-082,CL000423,5,3,1,5,5,1,100.0,33.33333333333333,1.0,
DSR-GT-PUNE-706,PH075319,4,3,1,5,21,1,100.0,33.33333333333333,1.0,
DSR-MUM-131,PH128951,9,6,3,2,5,2,66.66666666666666,50.0,1.0,
DSR-MP-288,PH103548,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-NE-197,MGS004297,8,2,2,5,9,2,100.0,100.0,1.0,
DSR-BGLR-094,PH033962,3,3,1,5,5,1,100.0,33.33333333333333,1.0,
DSR-MUM-127,PH101088,4,2,0,4,5,0,0.0,0.0,0.0,
DSR-CMN-UK-697,PH066419,5,3,1,1,2,1,100.0,33.33333333333333,1.0,
DSR-APUC-273,PH006833,5,5,3,4,5,3,100.0,60.0,0.0,
DSR-CMN-ROM-777,PM001762,2,1,0,4,5,0,0.0,0.0,1.0,
FSA-SPT-MUM-060,PS000225,23,10,4,4,23,4,100.0,40.0,1.0,
DSR-ROE-439,MGS08303,2,1,1,2,4,1,100.0,100.0,1.0,
DSR-NE-275,PH094644,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-PUNE-141,PH003267,22,6,2,4,21,1,50.0,33.33333333333333,1.0,
FSA-GT-HYD-009,PH000237,1,1,1,2,3,1,100.0,100.0,1.0,
DSR-CMN-ROM-777,PH077344,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-GT-NCR-424,PH041159,7,5,2,4,5,1,50.0,40.0,0.0,
DSR-SPT-NCR-530,PS006023,2,1,0,0,6,0,0.0,0.0,1.0,
DSR-KNUC-276,PH029809,9,4,4,5,6,4,100.0,100.0,1.0,
DSR-CMN-TNUC-494,PH035627,11,5,1,3,5,1,100.0,20.0,0.0,
FSA-SPT-MUM-105,PS011318,1,1,0,4,12,0,0.0,0.0,1.0,
DSR-GT-GOA-846,TG023585,3,3,0,4,5,0,0.0,0.0,1.0,
DSR-PUNJ-418,PH030112,1,1,1,4,5,0,0.0,100.0,1.0,
DSR-GUJ-151,PH112590,3,3,1,1,4,1,100.0,33.33333333333333,1.0,
DSR-BGLR-092,PH007794,2,2,0,4,6,0,0.0,0.0,0.0,
DSR-SPT-TN-510,CL004989,3,2,1,2,7,1,100.0,50.0,1.0,
DSR-GOA-441,PH006448,12,8,2,4,16,2,100.0,25.0,1.0,
DSR-CMN-NCR-810,MGS004206,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-HAR-028,PH089723,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-HAR-447,PH117499,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-GT-MUM-680,PH083818,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-MUM-656,PH063293,6,2,2,4,8,1,50.0,100.0,1.0,
DSR-MUM-132,PH120011,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-PUNJ-190,PH106651,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-PUNJ-202,PH119826,1,1,0,3,4,0,0.0,0.0,1.0,
DSR-GT-HYD-651,PH000210,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-822,PH042096,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-CMN-KNUC-473,DS022249,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-CMN-ROM-777,PH012156,6,6,3,3,6,2,66.66666666666666,50.0,0.0,
DSR-CMN-KER-770,PH054782,5,5,1,4,13,1,100.0,20.0,0.0,
DSR-GOA-153,PH055129,2,2,2,3,5,2,100.0,100.0,1.0,
FSA-SPT-HAR-014,PS000731,16,8,1,4,14,1,100.0,12.5,0.0,
DSR-CMN-ROM-777,PH056924,3,3,2,1,2,1,50.0,66.66666666666666,1.0,
DSR-PUNJ-190,PH013362,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-KNUC-430,PH103184,5,4,1,1,10,0,0.0,25.0,1.0,
DSR-HAR-185,DS014554,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-CMN-ROM-497,PH042292,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-KER-343,DS011649,2,1,0,2,6,0,0.0,0.0,0.0,
DSR-CMN-AP-471,PH045103,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-CMN-ROE-558,PS018021,1,1,0,4,10,0,0.0,0.0,0.0,
DSR-MUM-291,PH096072,5,4,3,4,5,3,100.0,75.0,0.0,
DSR-GT-ROE-527,DS016197,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-BGLR-084,DS006382,3,2,0,3,6,0,0.0,0.0,0.0,
DSR-BGLR-082,PH053553,11,5,2,5,16,2,100.0,40.0,1.0,
DSR-KER-352,TG019702,2,1,0,4,5,0,0.0,0.0,1.0,
DSR-MP-288,PS022123,8,7,1,2,7,1,100.0,14.285714285714285,0.0,
DSR-HAR-447,PH065964,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-GT-MUM-765,PH002777,1,1,0,4,9,0,0.0,0.0,0.0,
DSR-CMN-KNUC-473,DS022251,5,5,5,5,5,5,100.0,100.0,1.0,
DSR-CMN-KER-620,PS013182,6,2,0,4,9,0,0.0,0.0,0.0,
DSR-CMN-ROM-799,PH040520,4,4,2,4,6,2,100.0,50.0,1.0,
DSR-GT-PUNE-779,PH062104,6,6,4,4,7,3,75.0,66.66666666666666,1.0,
DSR-MUM-129,PH018375,8,6,2,4,5,1,50.0,33.33333333333333,1.0,
DSR-GUJ-151,DS007766,3,1,0,4,5,0,0.0,0.0,1.0,
DSR-NE-275,CL002819,3,3,1,5,7,1,100.0,33.33333333333333,0.0,
DSR-SPT-GUJ-512,PS007391,35,9,4,4,5,4,100.0,44.44444444444444,1.0,
DSR-MUM-127,PH060786,5,4,1,2,6,0,0.0,25.0,0.0,
DSR-CMN-GUJ-522,PH089122,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-MUM-134,PH002259,5,4,2,5,5,2,100.0,50.0,1.0,
DSR-GT-PUNE-360,DS009506,4,3,1,2,10,1,100.0,33.33333333333333,1.0,
DSR-KER-337,PS007132,7,5,0,1,7,0,0.0,0.0,0.0,
DSR-GT-BGLR-469,DS001878,28,8,2,5,9,2,100.0,25.0,0.0,
DSR-MUM-130,PH080642,18,12,3,4,16,3,100.0,25.0,1.0,
DSR-MP-145,PH054952,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-CHN-110,TG005234,6,3,0,4,8,0,0.0,0.0,0.0,
DSR-CMN-KNUC-555,PH130845,2,1,1,0,10,0,0.0,100.0,1.0,
DSR-GUJ-387,PH053072,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-SPT-MUM-502,CL004765,16,4,0,5,26,0,0.0,0.0,0.0,
DSR-GT-MUM-680,PH116105,4,4,3,2,5,2,66.66666666666666,75.0,1.0,
DSR-ROE-446,PH113877,3,3,2,2,5,2,100.0,66.66666666666666,1.0,
DSR-KNUC-231,PH026545,2,1,0,1,5,0,0.0,0.0,1.0,
DSR-CMN-KER-624,MGS08497,2,2,2,2,4,2,100.0,100.0,1.0,
DSR-RAJ-229,DS020711,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-KNUC-430,PS021910,4,2,1,1,24,0,0.0,50.0,1.0,
DSR-ROM-216,PH081331,7,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-SPT-NCR-533,PS008346,21,9,0,0,12,0,0.0,0.0,1.0,
DSR-MPC-371,MGS00896,1,1,0,2,5,0,0.0,0.0,1.0,
DSR-GT-MUM-702,PH059730,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-CMN-ROM-773,MGS006997,8,4,2,3,6,2,100.0,50.0,1.0,
DSR-CHN-109,PH125742,2,2,2,2,4,2,100.0,100.0,1.0,
DSR-MUM-124,MGS004896,16,10,4,4,16,4,100.0,40.0,1.0,
DSR-GT-MUM-680,PH077355,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-KER-563,PH048069,2,2,1,1,5,0,0.0,50.0,1.0,
DSR-GT-MUM-702,PH063190,8,5,2,3,13,1,50.0,40.0,1.0,
DSR-KER-068,PS022968,2,1,0,0,1,0,0.0,0.0,1.0,
DSR-TNUC-248,PS005183,12,11,2,3,20,2,100.0,18.181818181818183,1.0,
DSR-SPT-BGLR-549,CL000092,8,5,0,0,13,0,0.0,0.0,1.0,
DSR-GT-DEL-783,PH125895,2,1,1,1,4,0,0.0,100.0,1.0,
DSR-MUM-148,PH047128,17,11,3,3,12,2,66.66666666666666,27.27272727272727,0.0,
DSR-GT-MUM-702,PH063340,7,4,3,5,7,3,100.0,75.0,1.0,
DSR-CMN-GUJ-522,PH089120,1,1,1,4,5,1,100.0,100.0,1.0,
ISR-CMN-TNUC-003,PH096546,19,9,4,4,10,4,100.0,44.44444444444444,1.0,
DSR-HAR-166,PH014818,3,2,1,3,5,1,100.0,50.0,1.0,
DSR-GT-MUM-702,PH088490,9,7,0,0,14,0,0.0,0.0,1.0,
DSR-MUM-127,PH062020,3,2,1,5,6,1,100.0,50.0,0.0,
DSR-MUM-132,PH001879,5,4,3,5,6,3,100.0,75.0,1.0,
DSR-CMN-KER-588,PH054796,2,2,1,3,7,1,100.0,50.0,1.0,
DSR-ROM-216,DS022113,4,4,2,2,5,2,100.0,50.0,1.0,
FSA-SPT-MUM-063,PS005385,25,8,1,4,28,1,100.0,12.5,1.0,
FSA-GT-HYD-010,DS015136,10,9,4,5,15,4,100.0,44.44444444444444,1.0,
DSR-KNUC-276,HM000993,9,4,4,5,14,4,100.0,100.0,1.0,
DSR-GT-MUM-765,PH083879,5,2,0,4,5,0,0.0,0.0,0.0,
DSR-CMN-ROE-693,PH104142,1,1,1,2,5,1,100.0,100.0,1.0,
FSA-SPT-HYD-002,PS000004,1,1,0,5,25,0,0.0,0.0,0.0,
DSR-CMN-KER-624,DS018754,3,2,1,4,6,1,100.0,50.0,0.0,
DSR-GOA-153,TG019167,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-GT-MUM-702,PH002212,10,6,0,4,15,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-490,PS012374,5,2,1,4,5,1,100.0,50.0,1.0,
DSR-SPT-WP-594,PS000893,2,2,1,4,8,1,100.0,50.0,1.0,
DSR-PUNE-141,PH131188,3,1,0,0,1,0,0.0,0.0,1.0,
DSR-KOL-434,PH114329,7,4,1,3,13,0,0.0,25.0,0.0,
DSR-MUM-127,PH100615,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-RAJ-229,PH009395,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-GUJ-121,PH004388,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-PUNJ-354,PH013247,4,3,3,0,10,0,0.0,100.0,1.0,
DSR-KER-343,MGS006040,6,4,0,2,8,0,0.0,0.0,0.0,
DSR-KNUC-304,DS019132,4,2,1,4,8,1,100.0,50.0,1.0,
DSR-GT-GOA-566,TG013870,3,1,0,3,6,0,0.0,0.0,1.0,
DSR-PUNJ-404,PH067014,4,4,1,4,7,0,0.0,25.0,0.0,
DSR-MUM-129,TG003664,3,2,1,2,5,0,0.0,50.0,0.0,
DSR-SPT-GOA-671,PS008153,2,2,0,5,8,0,0.0,0.0,0.0,
DSR-HAR-166,PH055981,4,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-PUNE-778,PH075999,12,6,4,4,11,3,75.0,66.66666666666666,1.0,
DSR-GUJ-387,PH053073,2,2,0,4,5,0,0.0,0.0,0.0,
FSA-CMN-ROE-098,PH115451,2,2,0,2,2,0,0.0,0.0,1.0,
DSR-CMN-KNUC-473,PH075032,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-GUJ-121,PH110708,1,1,0,2,4,0,0.0,0.0,0.0,
DSR-ROM-412,TG013607,1,1,1,3,5,1,100.0,100.0,1.0,
FSA-SPT-HYD-001,PS020065,5,1,1,5,5,1,100.0,100.0,1.0,
DSR-MUM-131,PH128953,16,13,3,3,14,3,100.0,23.076923076923077,1.0,
DSR-KER-459,DS013355,13,6,4,0,20,0,0.0,66.66666666666666,1.0,
DSR-W/UP-176,PH087835,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-CMN-KER-588,DS018195,7,5,2,5,8,2,100.0,40.0,1.0,
DSR-CHN-110,TG005235,11,4,1,5,10,1,100.0,25.0,0.0,
DSR-PUNJ-404,PH106615,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-E/UP-313,TS000613,3,3,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-ROE-693,PH117582,1,1,1,0,3,0,0.0,100.0,1.0,
DSR-SPT-GUJ-512,PS013007,15,8,2,5,18,2,100.0,25.0,0.0,
DSR-CHN-116,MGS005765,2,2,2,4,7,2,100.0,100.0,1.0,
DSR-CMN-PUNJ-788,PH044163,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-APUC-171,PH095200,5,4,2,4,5,2,100.0,50.0,1.0,
DSR-GUJ-151,PH126842,3,2,2,2,3,2,100.0,100.0,1.0,
DSR-GUJ-151,PH114057,3,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-SPT-KOL-699,CL000673,5,2,0,3,10,0,0.0,0.0,0.0,
DSR-MUM-129,PH001806,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-PUNE-140,PH088706,2,1,1,5,13,1,100.0,100.0,1.0,
DSR-PUNJ-317,DS002477,3,3,0,4,11,0,0.0,0.0,0.0,
DSR-MUM-291,PH087931,4,1,1,4,5,1,100.0,100.0,1.0,
DSR-NE-194,PH116031,6,3,1,5,8,1,100.0,33.33333333333333,0.0,
DSR-GT-NCR-857,PH066711,1,1,1,2,11,1,100.0,100.0,1.0,
DSR-ROM-350,PH094147,2,2,0,1,5,0,0.0,0.0,0.0,
DSR-WUP-393,PS012522,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-CMN-KER-501,PH116479,3,1,0,3,5,0,0.0,0.0,1.0,
DSR-GT-MUM-702,PH101753,10,3,0,0,11,0,0.0,0.0,1.0,
DSR-CMN-KER-770,PH081917,3,3,0,3,5,0,0.0,0.0,0.0,
DSR-NE-194,TG020986,9,5,3,5,10,3,100.0,60.0,1.0,
DSR-CHN-162,DS022896,7,7,2,5,5,2,100.0,28.57142857142857,1.0,
FSA-SPT-MUM-063,PS010275,24,9,3,4,18,3,100.0,33.33333333333333,1.0,
DSR-GT-NCR-424,PH054365,4,4,2,5,5,2,100.0,50.0,1.0,
DSR-SPT-NCR-413,PS002398,9,7,4,4,5,4,100.0,57.14285714285714,1.0,
DSR-CHN-110,MGS08352,2,1,0,1,5,0,0.0,0.0,1.0,
DSR-SPT-NCR-530,CL000423,2,2,0,0,6,0,0.0,0.0,1.0,
DSR-CMN-ROM-497,PH029235,4,2,0,4,5,0,0.0,0.0,1.0,
DSR-CMN-KER-637,DS005701,9,7,2,4,10,2,100.0,28.57142857142857,0.0,
DSR-CMN-KER-770,PH106969,6,5,4,5,5,4,100.0,80.0,1.0,
DSR-HAR-220,PH126906,1,1,1,2,3,1,100.0,100.0,1.0,
DSR-MUM-291,PH087929,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-ROE-498,PH127359,2,2,1,1,1,0,0.0,50.0,1.0,
DSR-CMN-KER-770,MGS006512,7,4,0,4,6,0,0.0,0.0,0.0,
DSR-CMN-NCR-810,MGS004208,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-PUNJ-404,PH118421,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-NCR-038,PH022318,4,3,0,3,6,0,0.0,0.0,0.0,
DSR-CMN-AP-472,PH112640,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-CMN-ROE-558,TG012721,1,1,1,3,6,1,100.0,100.0,1.0,
DSR-MP-288,MGS08916,3,3,1,1,6,1,100.0,33.33333333333333,1.0,
FSA-SPT-NCR-019,CL002052,8,4,0,4,6,0,0.0,0.0,0.0,
DSR-PUNE-149,DS017608,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-BGLR-082,PH020947,5,5,2,2,5,2,100.0,40.0,1.0,
DSR-PUNE-141,PH093729,5,4,2,5,14,2,100.0,50.0,1.0,
DSR-GT-ROE-528,PH050995,3,2,0,0,6,0,0.0,0.0,1.0,
DSR-GOA-441,DS002276,12,6,1,4,19,1,100.0,16.666666666666664,0.0,
DSR-KER-343,PS007469,13,11,2,3,13,2,100.0,18.181818181818183,1.0,
DSR-MUM-291,PH021875,6,4,3,4,5,3,100.0,75.0,0.0,
DSR-KER-068,PH113726,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CHN-112,PH001509,14,6,2,4,11,2,100.0,33.33333333333333,1.0,
DSR-GT-MUM-680,PH063940,6,2,1,3,8,1,100.0,50.0,1.0,
DSR-CMN-KER-638,MGS006147,13,5,0,4,9,0,0.0,0.0,0.0,
DSR-PUNE-361,PH039924,1,1,1,4,7,1,100.0,100.0,1.0,
DSR-KNUC-276,PH100769,7,4,4,5,8,4,100.0,100.0,1.0,
DSR-CMN-KNUC-642,PH029784,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-KER-343,PH034768,4,3,0,1,5,0,0.0,0.0,0.0,
DSR-KER-342,MGS08859,7,3,2,4,10,2,100.0,66.66666666666666,1.0,
DSR-GT-MUM-702,PH002210,9,6,1,4,12,0,0.0,16.666666666666664,0.0,
DSR-CMN-EUP-737,PH085502,2,1,0,2,5,0,0.0,0.0,0.0,
DSR-KNUC-276,DS020596,9,4,4,5,10,4,100.0,100.0,1.0,
DSR-SPT-PUNE-506,CL001899,17,5,2,4,5,2,100.0,40.0,0.0,
DSR-E/UP-173,CL004438,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-KER-293,PH023996,2,2,2,4,6,2,100.0,100.0,1.0,
DSR-CMN-ROM-777,PH077346,10,9,3,4,11,3,100.0,33.33333333333333,0.0,
DSR-GOA-441,PH019765,12,9,2,4,16,2,100.0,22.22222222222222,1.0,
DSR-CMN-ROM-777,PH131236,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-GT-MUM-793,PH104633,3,2,0,3,8,0,0.0,0.0,0.0,
DSR-CMN-ROE-498,PH127360,1,1,1,1,1,0,0.0,100.0,1.0,
DSR-SPT-ROM-617,PS022782,4,3,1,3,12,1,100.0,33.33333333333333,1.0,
DSR-KER-391,PH032979,1,1,0,0,2,0,0.0,0.0,1.0,
DSR-GT-MUM-765,DS000898,6,5,2,3,11,2,100.0,40.0,1.0,
DSR-CMN-ROE-564,PH128690,7,6,2,1,2,1,50.0,33.33333333333333,1.0,
DSR-BGLR-094,PH012116,4,4,2,5,6,2,100.0,50.0,1.0,
DSR-CMN-EUP-737,PH084513,3,1,0,3,5,0,0.0,0.0,0.0,
DSR-MUM-291,PH028968,6,4,2,4,8,2,100.0,50.0,1.0,
DSR-GT-GOA-478,PH039157,1,1,0,4,5,0,0.0,0.0,1.0,
FSA-SPT-MUM-063,CL001026,12,6,1,4,28,1,100.0,16.666666666666664,1.0,
DSR-ROM-178,PS020420,6,1,0,3,10,0,0.0,0.0,1.0,
DSR-PUNE-140,PH078190,7,6,3,4,10,2,66.66666666666666,50.0,1.0,
DSR-KER-076,DS004067,10,6,0,4,12,0,0.0,0.0,0.0,
DSR-CMN-TNUC-815,PH032772,6,3,1,3,7,1,100.0,33.33333333333333,0.0,
DSR-CMN-KER-718,PS012150,5,2,1,4,6,1,100.0,50.0,0.0,
DSR-GT-NCR-649,PH093244,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-HAR-166,PH009180,6,5,2,4,5,2,100.0,40.0,1.0,
DSR-GUJ-122,PH019556,6,2,0,5,7,0,0.0,0.0,1.0,
DSR-CMN-EUP-668,PH066689,1,1,1,0,5,0,0.0,100.0,1.0,
DSR-HYD-003,PH000030,3,2,1,3,5,1,100.0,50.0,0.0,
DSR-PUNE-149,PH056807,8,4,1,4,7,1,100.0,25.0,0.0,
DSR-E/UP-313,DS011831,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-ROE-558,BR001801,2,1,0,1,5,0,0.0,0.0,0.0,
DSR-CHN-109,PH118327,4,3,1,2,4,1,100.0,33.33333333333333,0.0,
DSR-ROM-350,PS011447,6,4,1,1,9,1,100.0,25.0,1.0,
DSR-W/UP-176,PH013564,2,2,2,1,2,1,50.0,100.0,1.0,
DSR-NCR-039,PH090467,2,1,1,1,5,1,100.0,100.0,1.0,
DSR-NCR-036,PH130340,3,3,0,1,5,0,0.0,0.0,1.0,
DSR-PUNE-148,PH052258,25,11,3,4,19,2,66.66666666666666,27.27272727272727,1.0,
DSR-KNUC-430,PH107122,6,5,1,1,10,0,0.0,20.0,1.0,
DSR-PUNE-149,PH065029,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-GT-ROM-704,TG015146,18,9,3,3,15,2,66.66666666666666,33.33333333333333,1.0,
DSR-KER-068,DS003855,6,4,0,4,9,0,0.0,0.0,0.0,
DSR-GOA-153,PH008980,6,2,2,3,6,2,100.0,100.0,1.0,
DSR-CMN-ROE-758,PH032478,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-W/UP-176,PH087856,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-GT-ROE-527,DS006589,1,1,0,4,9,0,0.0,0.0,0.0,
DSR-SPT-MUM-540,CL000235,3,2,0,0,5,0,0.0,0.0,1.0,
DSR-SPT-EUP-600,PS009873,9,4,0,4,6,0,0.0,0.0,1.0,
DSR-SPT-UK-730,PS012755,15,5,0,5,7,0,0.0,0.0,0.0,
DSR-MUM-291,PH021874,9,3,3,4,6,3,100.0,100.0,1.0,
DSR-CMN-PUNJ-490,PS019285,12,8,0,1,7,0,0.0,0.0,0.0,
DSR-APUC-218,PH035929,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-PUNJ-418,PH030111,1,1,1,4,5,0,0.0,100.0,1.0,
DSR-HAR-028,TG012267,13,7,4,3,5,3,75.0,57.14285714285714,1.0,
DSR-CMN-PUNJ-822,PH005594,9,9,3,4,9,2,66.66666666666666,33.33333333333333,0.0,
DSR-NCR-038,DS008747,15,10,2,3,10,2,100.0,20.0,0.0,
DSR-NCR-038,DS012035,2,2,2,2,4,2,100.0,100.0,1.0,
DSR-MUM-291,PH065169,4,2,2,4,6,2,100.0,100.0,1.0,
DSR-GT-NCR-503,PH081810,1,1,0,2,13,0,0.0,0.0,0.0,
DSR-CMN-ROM-773,PH097654,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-GT-MUM-656,PH002850,6,6,1,4,10,0,0.0,16.666666666666664,0.0,
DSR-MP-320,PH087477,3,1,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-CHN-567,PH027882,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-ROM-216,PH036764,4,4,2,2,5,2,100.0,50.0,1.0,
DSR-E/UP-313,PH129418,2,1,1,1,1,1,100.0,100.0,1.0,
DSR-CMN-ROE-758,PH118114,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-KER-293,PS022418,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-GT-PUNE-778,PH076005,5,2,2,4,6,1,50.0,100.0,1.0,
DSR-ROM-409,PH035179,6,5,3,4,5,3,100.0,60.0,0.0,
DSR-MUM-131,PH128950,3,2,1,3,8,1,100.0,50.0,1.0,
DSR-GT-PUNJ-514,PH061651,2,2,0,5,5,0,0.0,0.0,1.0,
DSR-MUM-255,TG000734,6,4,1,4,5,1,100.0,25.0,0.0,
DSR-CMN-KER-624,DS018757,1,1,0,4,6,0,0.0,0.0,0.0,
DSR-GT-GOA-712,MGS07940,3,1,0,5,12,0,0.0,0.0,1.0,
DSR-CMN-KER-727,PS022580,5,5,2,3,6,2,100.0,40.0,0.0,
DSR-TNUC-098,DS001995,13,4,0,5,28,0,0.0,0.0,0.0,
ISR-CMN-TNUC-003,PH110689,11,9,4,4,9,4,100.0,44.44444444444444,1.0,
DSR-NCR-038,PH037592,2,1,1,4,5,1,100.0,100.0,1.0,
DSR-MUM-134,PM000492,2,1,0,4,9,0,0.0,0.0,0.0,
DSR-KER-343,PS019032,13,5,1,5,12,1,100.0,20.0,0.0,
